FORMULA,PROPERTY: Heat Capacity (J/mol K)
Al1,24.209
Al1Br3,100.578
Al1Cl1O1,56.902
Al1Cl3,91.128
Al1Cl4K1,156.482
Al1Cl4Na1,154.975
Al1Cl6K3,248.906
Al1Cl6Na3,244.136
Al1F3,75.132
Al1F6K3,222.798
Al1F6Li3,202.506
Al1F6Na3,215.727
Al1H4Li1,86.4
Al1I3,98.91
Al1Li1O2,67.777
Al1N1,30.097
Al1Na1O2,73.638
Al2Be1O4,105.38
Al2Cl9K3,337.23
Al2Mg1O4,116.198
Al2O3,79.015
B1,11.315
B1F4K1,114.483
B1H1O2,54.392
B1H3O3,81.337
B1H4K1,96.571
B1H4Li1,82.539
B1H4Na1,86.483
B1K1O2,67.028
B1Li1O2,60.371
B1N1,19.719
B1Na1O2,65.94
B1Ti1,29.673
B2Be3O6,139.746
B2H4O4,116.19
B2Mg1,47.823
B2O3,62.588
Ba1,28.096
Ba1Br2,77.015
Ba1Cl2,75.14
Ba1F2,72.204
Ba1H2O2,101.629
Ba1I2,77.488
Ba1O1,47.279
Ba1S1,49.374
Be1,16.38
Be1Br2,66.024
Be1Cl2,64.852
Be1F2,51.819
Be1F3Li1,91.816
Be1F4Li2,135.269
Be1H2O2,65.701
Be1I2,68.961
Be1O1,25.56
Be1O4S1,85.697
Be1O4W1,97.278
Be1S1,34.016
Be2O4Si1,95.563
Be3N2,64.358
Br1H4N1,88.676
Br1K1,52.379
Br1Na1,51.4
Br2Pb1,79.578
Br2Sr1,76.853
Br3Ti1,101.705
Br3Zr1,99.483
Br4Ti1,131.503
C0.98Nb1,36.233
C1B4,53.764
C1Be2,43.25
C1Cu1N1,61.024
C1K2O3,114.437
C1Li2O3,96.232
C1Mg1O3,76.21
C1Na2O3,111.003
Ca1,25.929
Ca1Cl2,72.856
Ca1F2,68.588
Ca1H2O2,87.487
Ca1I2,77.157
Ca1O1,42.12
Ca1S1,47.442
Cl1Cs1,52.442
Cl1Cu1,48.534
Cl1H4N1,86.441
Cl1H4N1O4,128.072
Cl1I1,55.229
Cl1K1,51.287
Cl1K1O4,110.207
Cl1Li1,48.028
Cl1Li1O4,105.018
Cl1Na1,50.509
Cl1Na1O4,111.294
Cl2Co1,78.492
Cl2Cu1,71.881
Cl2Fe1,76.664
Cl2Hg1,73.906
Cl2Hg2,101.968
Cl2Mg1,71.379
Co1,24.802
Co1F2,68.909
Co1F3,91.797
Co1O1,55.279
Co1O4S1,103.219
Co3O4,123.051
Cr1,23.434
Cr1N1,52.677
Cr2N1,66.065
Cs1,32.195
Cs1F1,51.965
Cs1H1O1,67.872
Cs2O4S1,108.7
Cu1,24.442
Cu1F1,51.882
Cu1F2,65.552
Cu1H2O2,95.186
Cu1O1,42.246
Cu1O4S1,98.868
Cu2O1,62.543
Cu2O5S1,141.043
F1K1,48.982
F1Li1,41.815
F1Na1,46.852
F2Fe1,68.116
F2H1K1,76.94
F2Hg1,74.856
F2Hg2,100.416
F2Mg1,61.547
F2Pb1,72.258
Fe0.877S1,49.883
Fe1,25.094
Fe1H2O2,97.069
Fe1H3O3,101.671
Fe1I2,83.68
Fe1O1,49.915
Fe1O4S1,100.583
Fe1S1,50.517
Fe1S2,62.39
Fe2O12S3,264.722
Fe2O3,103.763
Ga1,26.064
H1K1,37.907
H1K1O1,64.894
H1Li1,27.957
H1Li1O1,49.591
H1Na1,36.392
H1Na1O1,59.53
H2Mg1,35.334
H2Mg1O2,77.249
H2O2Sr1,74.894
H2O4W1,112.633
H2Ti1,30.087
H3O4P1,106.064
H4I1N1,81.755
Hf1,25.687
Hg1I2,77.747
Hg1O1,44.062
Hg2I2,105.855
I1K1,52.777
I1Li1,50.082
I1Na1,52.225
I2,54.436
I2Mg1,74.81
I2Mo1,82.705
I2Pb1,77.573
I2Sr1,77.948
I2Ti1,86.228
I2Zr1,94.14
I3Mo1,108.889
I3Ti1,116.771
I3Zr1,103.818
I4Mo1,137.193
I4Si1,108.035
I4Ti1,125.629
I4Zr1,127.8
K1,29.497
K1O2,77.53
K2O1,83.68
K2O2,100.165
K2O3Si1,118.407
K2O4S1,131.319
K2S1,74.684
Li2O1,54.087
Li2O2,70.626
Li2O3Si1,100.567
Li2O3Ti1,109.855
Li2O4S1,117.608
Li2O5Si2,138.072
Li3N1,75.266
Mg1,24.869
Mg1O1,37.106
Mg1O3Si1,81.927
Mg1O3Ti1,91.881
Mg1O4S1,96.232
Mg1O4W1,109.077
Mg1O5Ti2,146.858
Mg1S1,45.564
Mg2O4Si1,118.688
Mg2O4Ti1,128.574
Mg2Si1,67.864
Mg3N2,104.516
Mg3O8P2,212.756
Mn1,26.299
Mo1,23.933
Mo1O2,55.898
Mo1O2.750,70.135
Mo1O2.875,72.508
Mo1O2.889,72.772
Mo1O3,74.881
Mo1S2,63.555
Mo2S3,109.294
N0.465V1,28.877
N1Ti1,37.079
N1V1,37.981
N1Zr1,40.443
N2O4,122.103
N4Si3,99.533
N5P3,148.95
Na1O2,72.141
Na2O1,69.103
Na2O2,89.266
Na2O3Si1,111.88
Na2O4S1,155.812
Na2O4W1,139.775
Na2O5Si2,156.984
Na2S1,82.801
Na2S2,98.625
Nb1,24.694
Nb1O1,41.112
Nb1O2,57.452
Nb2O5,131.988
Ni1,25.987
Ni1S1,47.112
Ni1S2,70.626
Ni3S2,117.738
Ni3S4,164.808
O10P4,211.71
O1Pb1,45.773
O1Ti1,39.957
O1V1,45.501
O2.72W1,68.283
O2.90W1,71.379
O2.96W1,72.383
O2Pb1,61.17
O2Si1,26.581
O2Ti1,55.271
O2W1,55.739
O2Zr1,56.191
O3Pb1Si1,90.04
O3Ti2,95.814
O3W1,73.139
O4Pb2Si1,136.984
O4Pb3,154.934
O4S1Zn1,99.035
O4Si1Zr1,98.659
O4V2,115.399
O5Ta2,135.034
O5Ti3,154.808
O5V2,130.599
O7Ti4,208.489
P1,21.263
P4S3,146.44
Pb1,26.836
Pb1S1,49.438
Rb1,31.062
S1,22.698
S1Sr1,48.702
S2Si1,77.488
Si1,20
Sr1,26.791
Ta1,25.295
Ti1,25.238
V1,24.896
W1,24.295
Zn1,25.387
Zr1,25.202
